HC Containers Quote Options,,,,,,,,,,,
3 x 3,Assembled,Sliding Door,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Benchtop and Sink
,,,,,,,,,,,
6 x 3,Flatpack,,,,,,,,,,
6 x 3,Assembled,Kitchenette,,,,,,,,,
6 x 3,Assembled,Benchtop and Sink,,,,,,,,,
6 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,,,
6 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,,
6 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,,
6 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Kitchenette,
6 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Benchtop and Sink,
6 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Kitchenette,
6 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Benchtop and Sink,
,,,,,,,,,,,
8 x 3.3,Flatpack,,,,,,,,,,
8 x 3.3,Assembled,Kitchenette,,,,,,,,,
8 x 3.3,Assembled,Benchtop and Sink,,,,,,,,,
8 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,,,
8 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,,
8 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,,
8 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Kitchenette,
8 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Benchtop and Sink,
8 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Kitchenette,
8 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Benchtop and Sink,
,,,,,,,,,,,
10.4 x 3.3,Flatpack,,,,,,,,,,
10.4 x 3.3,Assembled,Kitchenette,,,,,,,,,
10.4 x 3.3,Assembled,Benchtop and Sink,,,,,,,,,
10.4 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,,,
10.4 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,,
10.4 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,,
10.4 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Kitchenette,
10.4 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Benchtop and Sink,
10.4 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Kitchenette,
10.4 x 3.3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Benchtop and Sink,
,,,,,,,,,,,
12 x 3,Flatpack,,,,,,,,,,
12 x 3,Assembled,Kitchenette,,,,,,,,,
12 x 3,Assembled,Benchtop and Sink,,,,,,,,,
12 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,,,
12 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,,
12 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,,
12 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Kitchenette,
12 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,1.6kW A/C,Benchtop and Sink,
12 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Kitchenette,
12 x 3,Assembled,Electrical,Extra Power Points,Extra Lights,External 10A Power Points,Data Ports,15A Caravan Plug,Generator Switch,2.2kW A/C,Benchtop and Sink,
